state,municipio,SALARIOS,rural_wage_clause,rural_wage_min_reis,rural_wage_max_reis,rural_wage_period,carpinteiro_wage_clause,carpinteiro_wage_min_reis,carpinteiro_wage_max_reis,carpinteiro_wage_period,JUROS,juros_lower_bound,juros_upper_bound,juros_period,TERRAS,land_price_text,land_price_lower_bound_reis,land_price_upper_bound_reis,land_price_unit,land_price_not_per_hectare
AL,Muricy,"Trabalhador rural, 600 a 700 réis diários; administradores de fazenda, 50$000 a 100$000 mensais; escrivães de fazenda não há; carpinteiro, 2$000 a 3$500 diários; lavadeiras, 6$000 mensais ou por peça de roupa. Não há cosinheiros. Os salários são pagos e os contratos cumpridos.","Trabalhador rural, 600 a 700 réis diários",600,700,daily,"carpinteiro, 2$000 a 3$500 diários",2000,3500,daily,"A taxa é de 12% a 18% ao ano, sendo esta última a mais usada.",12,18,annual,"Qualidades - Ha no município, bôas, regulares e inferiores; ora argillosas, ora arenosas, ora misturadas. Em algumas partes são planas, em outras montanhosas; umas são seccas, outras pantanosas. Sua vegetação é representada por mattas virgens, capoeiras, cerrados e alguns campos. Não há carrascaes. Preço das terras é muito variável.",,,,,
AL,Palmeira dos Indios,"Trabalhador rural 1$000 mais ou menos, diarios; administradores de fazenda e escrivães não ha; carpinteiro, de 2$000 a 3$000 diarios; as lavadeiras cobram por peça; cozinheiros, 8$000 mensaes.","Trabalhador rural 1$000 mais ou menos, diarios",1000,,daily,"carpinteiro, de 2$000 a 3$000 diarios",2000,3000,daily,A taxa é de 18 a 24 por cento ao anno.,18,24,annual,"Qualidades - Predominam as bôas e regulares; ha muitas seccas, algumas misturadas e argilosas; existem arenosas e pedregosas mas não patanosas. A vegetação é representada por capoeiras, cerrados, campos e alguns carrascaes; não ha mattas virgens. "" Preços — Um hectare de terra bôa custa mais ou menos 30$000.",Preços — Um hectare de terra bôa custa mais ou menos 30$000.,30000,30000,hectare,0
AL,Pão de Assucar,"Trabalhador rural, 1$000 diários; carpinteiro, 3$000; cozinheiro, 10$000 mensais; lavadeira, 10$000 mensais; não ha administrador nem escrivães de fazenda. Os salários são pagos e os contratos cumpridos.","Trabalhador rural, 1$000 diários",1000,,daily,"carpinteiro, 3$000",3000,,,"Taxa de 12 a 24ªjª annuâes, sendo esta última muito comum.",12,12,annual,"Qualidades - Ha bóas, regulares e inferiores, argillosas e arenosas, e outras misturadas; ha muitas planas; algumas montanhosas e pedregosas; muitas seccas e poucas pantanosas. Não ha mattas virgens, porém alguns cerrados e muitos carrascaes e campos. Preços — O preço das terras varia segundo a qualidade e outras circunstâncias especiais.",Preços — O preço das terras varia segundo a qualidade e outras circunstâncias especiais.,,,,
AL,Passo de Camaragibe,"O trabalhador rural ganha de 800 réis a 1$000 por dia; cozinheira, 10$000 mensais; lavadeira, 5$000 mensais; carpinteiro, 3$000 por dia; administrador de fazenda, 600$000 a 1.200$000 annuais. Não ha escrivães de fazenda. Os salários são pagos e os contratos cumpridos.",O trabalhador rural ganha de 800 réis a 1$000 por dia,800,1000,daily,"carpinteiro, 3$000 por dia",3000,,daily,A taxa geral é de 24 *J* ao anno.,24,24,annual,"Qualidades - São na maioria bôas, umas-argillosas e outras misturadas, sendo as do alto Camaragibe geralmente montanhosas, em contraste com as do baixo Camaragibe, que têm extensas varzeas. Existem algumas terras pantanosas, principalmente na cidade, à foz do rio. A vegetação é representada por algumas mattas, capoeiras, cerrados e muito poucos carrascaes e campos. “ Preços — São muito variáveis.",Preços — São muito variáveis.,,,,
AL,Paulo Affonso,"Trabalhador rural, 1$000 diários; não há escrivães nem administradores de fazenda, mas há, dirigindo as fazendas de criar, vaqueiros que ganham de cada quatro crias, uma; carpinteiro, 3$000 diários; cozinheiro, 8$000 mensais; lavadeira ganha por peça, a razão de 200 réis a dúzia. Os salários são pagos e os contratos cumpridos.","Trabalhador rural, 1$000 diários",1000,,daily,"carpinteiro, 3$000 diários",3000,,daily,Taxa de 24 *j* e mais ao ano.,24,24,annual,"Qualidades - Ha muitas terras bóas e regulares, e algumas inferiores; ha mais argilosas que arenosas e misturadas. Ha terras frescas e montanhosas. A vegetação é representada por capoeiras, cerrados, carrascaes e campos. Não ha matta virgem. Preços — É muito variável.",Preços — É muito variável.,,,,
AL,Penedo,"Trabalhador rural, 900 réis diários; administrador de fazenda, 840$000 annuais; carpinteiro, 3$000 diários; lavadeira, 200 réis por duzia de peças de roupa; cozinheira, 15$000 mensais. Não há escrivães de fazenda. Os salários são pagos e os contractos cumpridos.","Trabalhador rural, 900 réis diários",900,,daily,"carpinteiro, 3$000 diários",3000,,daily,O juro geralmente pago pelos agricultores aos prestamistas é de 12 por cento.,12,12,annual,"Qalidades - As terras em geral são regulares; algumas são argilosas, outras arenosas e misturadas. O sólo na maior parte é plano pedregoso; secco em vários pontos e pantanoso em outros. Os terrenos montanhosos são poucos. Preço - O preço do hectare de terra boa varia conforme a cultura a que é destinada. Assim, por exemplo, para o plantio do arroz compra-se uma tarefa de terra tendo 25 por 25 braças, desde 50$000 até 100$000.","Preço - O preço do hectare de terra boa varia conforme a cultura a que é destinada. Assim, por exemplo, para o plantio do arroz compra-se uma tarefa de terra tendo 25 por 25 braças, desde 50$000 até 100$000.",50000,100000,tarefa;braca,1
AL,Piassabussú,"Trabalhador rural 800 réis diários; administrador de fazenda, 600$000 por anno; não há escrivães de fazenda; carpinteiro, 3$000 diários; cozinheiro, 8$000 mensais, e lavadeira, 6$000. Os salários são pagos e os contratos cumpridos.",Trabalhador rural 800 réis diários,800,,daily,"carpinteiro, 3$000 diários",3000,,daily,"12*1, ao anno.",1,12,annual,"Qualidades - A maior parte, bôas e regulares, inferiores algumas. Em geral baixas, e em grande parte pantanosas, especialmente na margem dos rios e riachos, que facilmente ficam alagadas, no tempo das chuvas ou inverno. Argilosas e arenosas, muitas; misturadas, algumas; planas, a maior parte. Não há mattas virgens; existem muitas capoeiras, alguns cerrados e poucos carrascaes. Há muitos campos. Preços — Para o plantio do arroz, custa, em média, 100$000, uma tarefa de terra, ou um quadrado de 25 braças por 25. Há terrenos dos quais um hectare, custa, as vezes, 5$000 e menos. Para o plantio do coqueiro, um hectare, vale, em média, 80$000.","Preços — Para o plantio do arroz, custa, em média, 100$000, uma tarefa de terra, ou um quadrado de 25 braças por 25. Há terrenos dos quais um hectare, custa, as vezes, 5$000 e menos. Para o plantio do coqueiro, um hectare, vale, em média, 80$000.",5000,100000,hectare;tarefa;braca,1
AL,Pilar,"Trabalhador rural, de 800 réis a 18000 por dia; cozinheira, 88000 a 128000 mensais; as lavadeiras, cobram por peça a razão de 200 réis por dúzia, sem sabão, ou recebem 88000 mensalmente; carpinteiro, 28000 por dia, feitores dos engenhos, de 508000 a 608000 mensais com casa para morar. Não há escrivães de fazenda. Os salários são pagos e os contratos cumpridos.","Trabalhador rural, de 800 réis a 18000 por dia",800,1000,daily,"carpinteiro, 28000 por dia, feitores dos engenhos, de 508000 a 608000 mensais com casa para morar",2000,50000,daily,"2*|* ao mez e raramente 1½, no município; na Capital 1 a meio, com garantia.",1.5,2,monthly,"Qualidades - Há muitas terras boas e regulares e algumas inferiores; umas são argilhosas, outras arenosas, outras misturadas; umas planas e outras montanhosas e algumas pedregosas, secas e outras pantanosas. Não há matas virgens, existem muitas capoeiras e cerrados, havendo poucos carrascaes; existem campos. Preços — Os preços variam com as terras, extensões, regiões, etc.","Preços — Os preços variam com as terras, extensões, regiões, etc.",,,,
AL,Piranhas,"Trabalhador rural, 1$000 diários; não há administradores nem escrivães de fazenda; carpinteiro, 3$000 diários; cozinheira, 10$000 meneses; lavadeiras lavam por peça a razão de 240 réis a dúzia. Os salários são pagos e os contratos cumpridos.","Trabalhador rural, 1$000 diários",1000,,daily,"carpinteiro, 3$000 diários",3000,,daily,Taxa de 10 ª a 18 ª ao ano.,10,18,annual,"Qualidades - Há algumas terras bôas e regulares e muitas inferiores. Há muitas arenosas, algumas argilosas e misturadas. Há montanhosas, planas e pedregosas. A vegetação é representada por capoeiras, cerrados, carrascaes e campos; não há matas virgens. menos. "" Preços — Um hectare de terra bôa pôde se comprar por 20$000 e até",Preços — Um hectare de terra bôa pôde se comprar por 20$000 e até,20000,20000,hectare,0
AL,Porto Calvo,"Trabalhador rural de 700 réis a 1$000 por dia; empregados domésticos, de 5$000 a 10$000 mensais; carpinteiro, 3$000 diários; administradores de fazenda, de 600$000 a 1:000$000. Não há escrivães de fazenda. Os salários são pagos e os contratos cumpridos.",Trabalhador rural de 700 réis a 1$000 por dia,700,1000,daily,"carpinteiro, 3$000 diários",3000,,daily,Variável de 12 a 24 por cento ao ano.,12,24,annual,"Qualidades - Na maioria bôas e regulares; argilo-silicosas e geralmente montanhosas. Existem algumas mattas, muitas capoeiras, cerrados e poucos campos. "" Preços — Muito variável.",Preços — Muito variável.,,,,
AL,Porto de Pedras,"Trabalhador rural, de 600 a 800 réis diários; administrador de fazenda, de 70$000 a 100$000 mensais; não há escrivães de fazenda; carpinteiro, 3$000 diários; lavadeira, de 4$000 a 5$000 mensais; cozinheira, de 8$000 a 10$000 mensais. Os salários são pagos e os contratos cumpridos.","Trabalhador rural, de 600 a 800 réis diários",600,800,daily,"carpinteiro, 3$000 diários",3000,,daily,A taxa é de 18 a 24 *J* ao ano.,18,24,annual,"Qualidades - O município é no geral plano, possui terras bôas, regulares e inferiores, argilosas, arenosas e misturadas. A vegetação é representada quase que exclusivamente por capoeiras e carrascaes. "" Preços — Um hectare de terra bôa custa de 50$000 a 100$000,","Preços — Um hectare de terra bôa custa de 50$000 a 100$000,",50000,100000,hectare,0
AL,Porto Real do Collegio,"Um tarbalhador rural, ganha 1$000 e as mulheres 600 réis, nas culturas de arroz. Não ha administradores, nem escrivães de fazenda; carpinteiro, 1$500 a 3$000, diários; cozinheira, 10$000 mensais; lavadeira é paga por peça, a razão de 240 a 300 réis a duzia. Os salários são pagos e os contratos cumpridos.","Um tarbalhador rural, ganha 1$000 e as mulheres 600 réis, nas culturas de arroz",600,1000,,"carpinteiro, 1$500 a 3$000, diários",1500,3000,daily,"Taxa de 24 *J*, ao anno.",24,24,annual,"Qualidades - São boas em geral, quase em sua totalidade planas, havendo para o centro do município algumas elevações do terreno, alguns morros baixos, e todos eles de boas terras. Nos limites com o município de Triumpho, há a serra da Maraba, em cuja encosta se fazem plantações, por serem as terras ali muito boas. Preços — O preço da terra varia, conforme a espécie da cultura. Nas terras alagadas, nos lamaques, nas margens das lagoas, todos lugares próprios para o arroz, o preço de uma tarefa é 50$000. As terras secas são todas em comum; compra-se a posse de uma certa porção de terreno, que nem sempre se diz onde começa e acaba, porque a área não está determinada, e planta-se e solta-se gado à vontade. É o regime da terra indivisa, sujeito a tantos accidentes sanguinários.","Preços — O preço da terra varia, conforme a espécie da cultura. Nas terras alagadas, nos lamaques, nas margens das lagoas, todos lugares próprios para o arroz, o preço de uma tarefa é 50$000. As terras secas são todas em comum; compra-se a posse de uma certa porção de terreno, que nem sempre se diz onde começa e acaba, porque a área não está determinada, e planta-se e solta-se gado à vontade. É o regime da terra indivisa, sujeito a tantos accidentes sanguinários.",50000,50000,tarefa,1
AL,Sant'Anna de Ipanema,"Trabalhador rural, 1$000 por dia; não ha administradores, nem escrivães de fazenda. Carpinteiro, 3$000 diarios; cozinheira, 8$000 mensais; lavadeira é paga por peça, a razão de 300 a 400 réis a duzia. Os salarios são pagos e os contractos cumpridos.","Trabalhador rural, 1$000 por dia",1000,,daily,"Carpinteiro, 3$000 diarios",3000,,daily,Não ha emprestimos.,,,,"Qualidades - Na maioria boas; ha misturadas em grande quantidade, bem como argilhosas. Existem algumas arenosas, bem como pedregosas. Ha poucas montanhosas, sendo quase todas planas. Ha grande quantidade de capoeiras e alguns cerrados e carrascaes, não ha mattas virgens. ” Preços — O hectare de terra pôde custar em média, 20$000.","Preços — O hectare de terra pôde custar em média, 20$000.",20000,20000,hectare,0
AL,Santa Luzia do Norte,"Trabalha flor rural, 600 réis a 18000 diários; administrador de fazenda, 508000 a 1008000 mensões; escrivães de fazenda não ha, carpinteiro, 28000 a 58000 diários; cozinheira, 108000 a 158000 mensões e lavadeira, 88000 mensões, em média. Os salários são pagos e os contratos cumpridos.","Trabalha flor rural, 600 réis a 18000 diários",600,1000,daily,"escrivães de fazenda não ha, carpinteiro, 28000 a 58000 diários",2000,5000,daily,12º!ª é a taxa mínima usual.,,,,"Qualidades - As terras do município são de qualidades muito variadas; há boas, regulares e inferiores; algumas são argilosas, outras arenças e outras misturadas; ora são planas, ora accidentadas, algumas são pedregosas e secas, outras pantanosas. ” Preços — O preço das terras é muito variável.",Preços — O preço das terras é muito variável.,,,,
AL,São Braz,"Trabalhador rural, 1$000 a 1$200, por dia; não ha administradores, nem escrivães de fazenda; ha vaqueiros encarregados de administra-as, ganhando conforme o contracto feito; carpinteiro, 3$000, diarios; cosinheira, 10$000, mensaes; lavadeiras são pagas por peça à razão de 20 réis cada uma. Os salarios são pagos e os contractos cumpridos.","Trabalhador rural, 1$000 a 1$200, por dia",1000,1200,daily,"carpinteiro, 3$000, diarios",3000,,daily,A taxa de 24% ao anno.,24,24,annual,"Qualidades - Ha terras bóas e regulares, poucas inferiores; muitas argilosas, misturadas e pedregosas; poucas arenosas; mais planas do que montanhosas. Não ha mattas virgens, porém, muitas capoeiras, cerrados e campos. "" Preços — Os preços variam, conforme a plantação a que a terra é destinada; uma tarefa de 25X25 braças, para arroz, custa em média, 25$000. Terra sécca para algodão ou cereais, com 50 braças de frente e uma legua de fundo, custa em média, 200$000.","Preços — Os preços variam, conforme a plantação a que a terra é destinada; uma tarefa de 25X25 braças, para arroz, custa em média, 25$000. Terra sécca para algodão ou cereais, com 50 braças de frente e uma legua de fundo, custa em média, 200$000.",25000,200000,tarefa;braca;legua,1
AL,S. José da Lage,"Não há cozinheiro; as lavadeiras ganham por peça; um carpinteiro ganha de 28000 a 38000 diários; um vaqueiro, de 4808000 a 60080000 annuães; administrador de fazenda, de 6008000 a 85080000 annuães; não há escrivães de fazenda; o salário do trabalhador rural seja colono ou camarada é de 600 a 800 réis diários. Os salários são pagos e os contratos cumpridos.",o salário do trabalhador rural seja colono ou camarada é de 600 a 800 réis diários,600,800,daily,um carpinteiro ganha de 28000 a 38000 diários,2000,3000,daily,A taxa é de 18 a 25 % ao anno e às vezes mais.,18,25,annual,"Qualidades - No município predominam as bóas e regulares; são mais planas que montanhosas; há argilhosas, arenosas, misturadas, pedregosas, sécas e pantanosas. A vegetação é representada por mattas virgens, capoeiras, cerrados, carrascaes e campos. Preços — Um hectare de terra boa custa approximadamente 2008000.",Preços — Um hectare de terra boa custa approximadamente 2008000.,200000,200000,hectare,0
AL,São Luiz do Quitunde,"Trabalhador rural, de 800 réis a 1$200 por dia; não há escrivães de fazenda; administrador, de 30$000 a 100$000 por mez; carpinteiro, de 2$000 a 3$000 por dia; lavadeira, de 5$000 a 6$000 mensais; cozinheira, de 6$000 a 10$000 mensais. Os salários são pagos com regularidade.","Trabalhador rural, de 800 réis a 1$200 por dia",800,1200,daily,"carpinteiro, de 2$000 a 3$000 por dia",2000,3000,daily,"1½ a 2¾ ao mez, as vezes mais.",1.5,1.5,monthly,"Qualidades - Há boas, regulares e inferiores. As arenosas encontram-se em uma extensão de cerca de nove leguas, na parte do limite sul, e vão até a foz do rio Santo Antonio Grande, e dahi até o limite com Camaragibe. Há também argilosas e misturadas, planas, montanhosas e pedregosas. A vegetação é representada por boas mattas (não propriamente mattas virgens), capoeiras, cerrados e carrascaes. Não há campos. Preços - As terras são vendidas, mais cu menos a 38000 o hectare, quando devolutas.","Preços - As terras são vendidas, mais cu menos a 38000 o hectare, quando devolutas.",3000,3000,hectare,0
AL,S. Miguel de Campos,"Trabalhador rural, ganha de 600 réis a 900 réis, por dia; administrador, 50$000 a 80$000 mensais; não ha escrivães de fazendas; carpinteiro, 2$000 a 3$000 diarios; cosinheiro, 6$000 a 10$000 mensais; lavadeira, 7$000 mensais. Os salarios são pagos e os contractos cumpridos.","Trabalhador rural, ganha de 600 réis a 900 réis, por dia",600,900,daily,"carpinteiro, 2$000 a 3$000 diarios",2000,3000,daily,18 a 24 *|* annuaes.,18,24,annual,"Qualidades - Em geral bôas, especialmente nas varzeas e encostas dos morros; geralmente argillosas ou misturadas, quer no valle do rio S. Miguel, quer no do Jequiá; em sua maioria planas. A vegetação é representada por algumas mattas virgens, capoeiras, cerrados, carrascaes e campos.",,,,,
AL,Traipú,"Cozinheira ganha 10$000 mensas; lavadeiras, 200 réis, por duzia de peças lavadas; carpinteiro, 2$000 diarios; trabalhador rural, 1$000 diarios. Não ha administrador nem escrivães de fazenda. Os salarios são pagos e os contractos cumpridos.","trabalhador rural, 1$000 diarios",1000,,daily,"carpinteiro, 2$000 diarios",2000,,daily,"A taxa usual é de 1 e 1 ½ a 2 *¹⁰, ao mez.",1,1,monthly,"Qualidades - No geral boas, havendo algumas regulares e inferiores; a maior parte misturadas, boa parte argilosas, poucas arenosas. Mais montanhosas do que planas. Não tem mattas virgens, há muitas capoeiras e campos, alguns cerrados e carrascaes. Preços — O preço das terras é muito variável. (Vide nota).",Preços — O preço das terras é muito variável. (Vide nota).,,,,
