state;municipio;CUSTO_DOS_TECIDOS;JUROS;SALARIOS;TERRAS
AL;Palmeira dos Indios;Metro de tecidos nacionaes e estrangeiros, de 300 réis a 12$000.;A taxa é de 18 a 24 por cento ao anno.;"Trabalhador rural 1$000 mais ou menos, diarios; administradores de fazenda e escrivães não ha; carpinteiro, de 2$000 a 3$000 diarios; as lavadeiras cobram por peça; cozinheiros, 8$000 mensaes.";"Qualidades - Predominam as bôas e regulares; ha muitas seccas, algumas misturadas e argilosas; existem arenosas e pedregosas mas não patanosas. A vegetação é representada por capoeiras, cerrados, campos e alguns carrascaes; não ha mattas virgens. "" Preços — Um hectare de terra bôa custa mais ou menos 30$000."
AL;Pão de Assucar;O preço varia com a qualidade.;Taxa de 12 a 24ªjª annuâes, sendo esta última muito comum.;"Trabalhador rural, 1$000 diários; carpinteiro, 3$000; cozinheiro, 10$000 mensais; lavadeira, 10$000 mensais; não ha administrador nem escrivães de fazenda. Os salários são pagos e os contratos cumpridos.";"Qualidades - Ha bóas, regulares e inferiores, argillosas e arenosas, e outras misturadas; ha muitas planas; algumas montanhosas e pedregosas; muitas seccas e poucas pantanosas. Não ha mattas virgens, porém alguns cerrados e muitos carrascaes e campos. Preços — O preço das terras varia segundo a qualidade e outras circunstâncias especiais."
AL;Passo de Camaragibe;Nacionaes, communs, de 300 réis a mais, o metro.;A taxa geral é de 24 *J* ao anno.;"O trabalhador rural ganha de 800 réis a 1$000 por dia; cozinheira, 10$000 mensais; lavadeira, 5$000 mensais; carpinteiro, 3$000 por dia; administrador de fazenda, 600$000 a 1.200$000 annuais. Não ha escrivães de fazenda. Os salários são pagos e os contratos cumpridos.";Qualidades - São na maioria bôas, umas-argillosas e outras misturadas, sendo as do alto Camaragibe geralmente montanhosas, em contraste com as do baixo Camaragibe, que têm extensas varzeas. Existem algumas terras pantanosas, principalmente na cidade, à foz do rio. A vegetação é representada por algumas mattas, capoeiras, cerrados e muito poucos carrascaes e campos. “ Preços — São muito variáveis.
AL;Paulo Affonso;E' muito variável.;Taxa de 24 *j* e mais ao ano.;"Trabalhador rural, 1$000 diários; não há escrivães nem administradores de fazenda, mas há, dirigindo as fazendas de criar, vaqueiros que ganham de cada quatro crias, uma; carpinteiro, 3$000 diários; cozinheiro, 8$000 mensais; lavadeira ganha por peça, a razão de 200 réis a dúzia. Os salários são pagos e os contratos cumpridos.";"Qualidades - Ha muitas terras bóas e regulares, e algumas inferiores; ha mais argilosas que arenosas e misturadas. Ha terras frescas e montanhosas. A vegetação é representada por capoeiras, cerrados, carrascaes e campos. Não ha matta virgem. Preços — É muito variável."
AL;Penedo;Varia conforme a qualidade.;O juro geralmente pago pelos agricultores aos prestamistas é de 12 por cento.;"Trabalhador rural, 900 réis diários; administrador de fazenda, 840$000 annuais; carpinteiro, 3$000 diários; lavadeira, 200 réis por duzia de peças de roupa; cozinheira, 15$000 mensais. Não há escrivães de fazenda. Os salários são pagos e os contractos cumpridos.";"Qalidades - As terras em geral são regulares; algumas são argilosas, outras arenosas e misturadas. O sólo na maior parte é plano pedregoso; secco em vários pontos e pantanoso em outros. Os terrenos montanhosos são poucos. Preço - O preço do hectare de terra boa varia conforme a cultura a que é destinada. Assim, por exemplo, para o plantio do arroz compra-se uma tarefa de terra tendo 25 por 25 braças, desde 50$000 até 100$000."
AL;Piassabussú;Varia conforme a qualidade.;12*1, ao anno.;"Trabalhador rural 800 réis diários; administrador de fazenda, 600$000 por anno; não há escrivães de fazenda; carpinteiro, 3$000 diários; cozinheiro, 8$000 mensais, e lavadeira, 6$000. Os salários são pagos e os contratos cumpridos.";"Qualidades - A maior parte, bôas e regulares, inferiores algumas. Em geral baixas, e em grande parte pantanosas, especialmente na margem dos rios e riachos, que facilmente ficam alagadas, no tempo das chuvas ou inverno. Argilosas e arenosas, muitas; misturadas, algumas; planas, a maior parte. Não há mattas virgens; existem muitas capoeiras, alguns cerrados e poucos carrascaes. Há muitos campos. Preços — Para o plantio do arroz, custa, em média, 100$000, uma tarefa de terra, ou um quadrado de 25 braças por 25. Há terrenos dos quais um hectare, custa, as vezes, 5$000 e menos. Para o plantio do coqueiro, um hectare, vale, em média, 80$000."
AL;Pilar;"Um metro de tecido, nacional 300 a 2$000; estrangeiro, de 300 réis a 15$000.";"2*|* ao mez e raramente 1½, no município; na Capital 1 a meio, com garantia.";"Trabalhador rural, de 800 réis a 18000 por dia; cozinheira, 88000 a 128000 mensais; as lavadeiras, cobram por peça a razão de 200 réis por dúzia, sem sabão, ou recebem 88000 mensalmente; carpinteiro, 28000 por dia, feitores dos engenhos, de 508000 a 608000 mensais com casa para morar. Não há escrivães de fazenda. Os salários são pagos e os contratos cumpridos.";"Qualidades - Há muitas terras boas e regulares e algumas inferiores; umas são argilhosas, outras arenosas, outras misturadas; umas planas e outras montanhosas e algumas pedregosas, secas e outras pantanosas. Não há matas virgens, existem muitas capoeiras e cerrados, havendo poucos carrascaes; existem campos. Preços — Os preços variam com as terras, extensões, regiões, etc."
AL;Piranhas;O preço é muito variável.;Taxa de 10 ª a 18 ª ao ano.;"Trabalhador rural, 1$000 diários; não há administradores nem escrivães de fazenda; carpinteiro, 3$000 diários; cozinheira, 10$000 meneses; lavadeiras lavam por peça a razão de 240 réis a dúzia. Os salários são pagos e os contratos cumpridos.";"Qualidades - Há algumas terras bôas e regulares e muitas inferiores. Há muitas arenosas, algumas argilosas e misturadas. Há montanhosas, planas e pedregosas. A vegetação é representada por capoeiras, cerrados, carrascaes e campos; não há matas virgens. menos. "" Preços — Um hectare de terra bôa pôde se comprar por 20$000 e até"
AL;Porto Calvo;Nacionaes, communs, de 300 réis a mais por metro.;Variável de 12 a 24 por cento ao ano.;"Trabalhador rural de 700 réis a 1$000 por dia; empregados domésticos, de 5$000 a 10$000 mensais; carpinteiro, 3$000 diários; administradores de fazenda, de 600$000 a 1:000$000. Não há escrivães de fazenda. Os salários são pagos e os contratos cumpridos.";"Qualidades - Na maioria bôas e regulares; argilo-silicosas e geralmente montanhosas. Existem algumas mattas, muitas capoeiras, cerrados e poucos campos. "" Preços — Muito variável."
AL;Porto de Pedras;O preço dos tecidos é muito variável.;A taxa é de 18 a 24 *J* ao ano.;"Trabalhador rural, de 600 a 800 réis diários; administrador de fazenda, de 70$000 a 100$000 mensais; não há escrivães de fazenda; carpinteiro, 3$000 diários; lavadeira, de 4$000 a 5$000 mensais; cozinheira, de 8$000 a 10$000 mensais. Os salários são pagos e os contratos cumpridos.";"Qualidades - O município é no geral plano, possui terras bôas, regulares e inferiores, argilosas, arenosas e misturadas. A vegetação é representada quase que exclusivamente por capoeiras e carrascaes. "" Preços — Um hectare de terra bôa custa de 50$000 a 100$000,"
AL;Porto Real do Collegio;Varia conforme a qualidade.;Taxa de 24 *J*, ao anno.;"Um tarbalhador rural, ganha 1$000 e as mulheres 600 réis, nas culturas de arroz. Não ha administradores, nem escrivães de fazenda; carpinteiro, 1$500 a 3$000, diários; cozinheira, 10$000 mensais; lavadeira é paga por peça, a razão de 240 a 300 réis a duzia. Os salários são pagos e os contratos cumpridos.";"Qualidades - São boas em geral, quase em sua totalidade planas, havendo para o centro do município algumas elevações do terreno, alguns morros baixos, e todos eles de boas terras. Nos limites com o município de Triumpho, há a serra da Maraba, em cuja encosta se fazem plantações, por serem as terras ali muito boas. Preços — O preço da terra varia, conforme a espécie da cultura. Nas terras alagadas, nos lamaques, nas margens das lagoas, todos lugares próprios para o arroz, o preço de uma tarefa é 50$000. As terras secas são todas em comum; compra-se a posse de uma certa porção de terreno, que nem sempre se diz onde começa e acaba, porque a área não está determinada, e planta-se e solta-se gado à vontade. É o regime da terra indivisa, sujeito a tantos accidentes sanguinários."
AL;Sant'Anna de Ipanema;"Nacionaes, de 600 réis a 2$000 o metro; estrangeiros, de 1$200 a 4$000.";Não ha emprestimos.;"Trabalhador rural, 1$000 por dia; não ha administradores, nem escrivães de fazenda. Carpinteiro, 3$000 diarios; cozinheira, 8$000 mensais; lavadeira é paga por peça, a razão de 300 a 400 réis a duzia. Os salarios são pagos e os contractos cumpridos.";"Qualidades - Na maioria boas; ha misturadas em grande quantidade, bem como argilhosas. Existem algumas arenosas, bem como pedregosas. Ha poucas montanhosas, sendo quase todas planas. Ha grande quantidade de capoeiras e alguns cerrados e carrascaes, não ha mattas virgens. ” Preços — O hectare de terra pôde custar em média, 20$000."
AL;Santa Luzia do Norte;O metro de tecido nacional custa 400 réis a 1$200 e mais.;12º!ª é a taxa mínima usual.;"Trabalha flor rural, 600 réis a 18000 diários; administrador de fazenda, 508000 a 1008000 mensões; escrivães de fazenda não ha, carpinteiro, 28000 a 58000 diários; cozinheira, 108000 a 158000 mensões e lavadeira, 88000 mensões, em média. Os salários são pagos e os contratos cumpridos.";"Qualidades - As terras do município são de qualidades muito variadas; há boas, regulares e inferiores; algumas são argilosas, outras arenças e outras misturadas; ora são planas, ora accidentadas, algumas são pedregosas e secas, outras pantanosas. ” Preços — O preço das terras é muito variável."
AL;São Braz;E' muito variavel.;A taxa de 24% ao anno.;"Trabalhador rural, 1$000 a 1$200, por dia; não ha administradores, nem escrivães de fazenda; ha vaqueiros encarregados de administra-as, ganhando conforme o contracto feito; carpinteiro, 3$000, diarios; cosinheira, 10$000, mensaes; lavadeiras são pagas por peça à razão de 20 réis cada uma. Os salarios são pagos e os contractos cumpridos.";"Qualidades - Ha terras bóas e regulares, poucas inferiores; muitas argilosas, misturadas e pedregosas; poucas arenosas; mais planas do que montanhosas. Não ha mattas virgens, porém, muitas capoeiras, cerrados e campos. "" Preços — Os preços variam, conforme a plantação a que a terra é destinada; uma tarefa de 25X25 braças, para arroz, custa em média, 25$000. Terra sécca para algodão ou cereais, com 50 braças de frente e uma legua de fundo, custa em média, 200$000."
AL;S. José da Lage;O custo dos tecidos varia conforme a qualidade.;A taxa é de 18 a 25 % ao anno e às vezes mais.;"Não há cozinheiro; as lavadeiras ganham por peça; um carpinteiro ganha de 28000 a 38000 diários; um vaqueiro, de 4808000 a 60080000 annuães; administrador de fazenda, de 6008000 a 85080000 annuães; não há escrivães de fazenda; o salário do trabalhador rural seja colono ou camarada é de 600 a 800 réis diários. Os salários são pagos e os contratos cumpridos.";"Qualidades - No município predominam as bóas e regulares; são mais planas que montanhosas; há argilhosas, arenosas, misturadas, pedregosas, sécas e pantanosas. A vegetação é representada por mattas virgens, capoeiras, cerrados, carrascaes e campos. Preços — Um hectare de terra boa custa approximadamente 2008000."
AL;São Luiz do Quitunde;O metro de tecidos communs varia de 300 réis a 2$500.;1½ a 2¾ ao mez, as vezes mais.;"Trabalhador rural, de 800 réis a 1$200 por dia; não há escrivães de fazenda; administrador, de 30$000 a 100$000 por mez; carpinteiro, de 2$000 a 3$000 por dia; lavadeira, de 5$000 a 6$000 mensais; cozinheira, de 6$000 a 10$000 mensais. Os salários são pagos com regularidade.";Qualidades - Há boas, regulares e inferiores. As arenosas encontram-se em uma extensão de cerca de nove leguas, na parte do limite sul, e vão até a foz do rio Santo Antonio Grande, e dahi até o limite com Camaragibe. Há também argilosas e misturadas, planas, montanhosas e pedregosas. A vegetação é representada por boas mattas (não propriamente mattas virgens), capoeiras, cerrados e carrascaes. Não há campos. Preços - As terras são vendidas, mais cu menos a 38000 o hectare, quando devolutas.
AL;S. Miguel de Campos;Os nacionaes communs, de 500 réis à mais, o metro.;18 a 24 *|* annuaes.;"Trabalhador rural, ganha de 600 réis a 900 réis, por dia; administrador, 50$000 a 80$000 mensais; não ha escrivães de fazendas; carpinteiro, 2$000 a 3$000 diarios; cosinheiro, 6$000 a 10$000 mensais; lavadeira, 7$000 mensais. Os salarios são pagos e os contractos cumpridos.";"Qualidades - Em geral bôas, especialmente nas varzeas e encostas dos morros; geralmente argillosas ou misturadas, quer no valle do rio S. Miguel, quer no do Jequiá; em sua maioria planas. A vegetação é representada por algumas mattas virgens, capoeiras, cerrados, carrascaes e campos."
AL;Traipú;O custo dos tecidos varia conforme a qualidade.;A taxa usual é de 1 e 1 ½ a 2 *¹⁰, ao mez.;"Cozinheira ganha 10$000 mensas; lavadeiras, 200 réis, por duzia de peças lavadas; carpinteiro, 2$000 diarios; trabalhador rural, 1$000 diarios. Não ha administrador nem escrivães de fazenda. Os salarios são pagos e os contractos cumpridos.";"Qualidades - No geral boas, havendo algumas regulares e inferiores; a maior parte misturadas, boa parte argilosas, poucas arenosas. Mais montanhosas do que planas. Não tem mattas virgens, há muitas capoeiras e campos, alguns cerrados e carrascaes. Preços — O preço das terras é muito variável. (Vide nota)."
AL;Triumpho;É muito variável o preço dos tecidos.;Pagam 18 e 24 *¹/², ao anno.;"Um trabalhador rural, ganha de 700 réis a 1$200 diários; uma carpinteiro, 2$500 diários; não há administradores nem escrivães; cozinheira, 6$000 mensais; lavadeira, 200 réis por dúzia de peças; de fazenda. Os salários são pagos e os contratos cumpridos.";"Qualidades - Há terras bôas, regulares e algumas inferiores; muitas argilosas, poucas misturadas. Há muitas planas e poucas montanhosas e pedregosas; há muitas sécas e grande porção de alagadiços, junto ao canal de Bôa Sica, mamas virgens, muito poucas, já devastadas e longe da cidade; muitas capoeiras, alguns cerrados, carrascaes e campos. Preços — Uma tarefa para arroz custa 25$000."
AL;União;Varia conforme a qualidade.;A taxa é de 20 a 25 % ao anno e as vezes mais.;"Trabalhador rural, seja colono ou camarada, 700 a 800 réis diarios; administrador de fazenda, 480$000 a 600$000 annuées; escrivães de fazenda não ha; carpinteiro, 2$000 a 3$000 diarios; as lavadeiras cobram por peça; não ha cosinheiros. Os salarios são pagos e os contractos cumpridos.";"Qualidades - No município predominam as bóas e regulares havendo poucas inferiores; algumas são planas, outras montanhoass e seccas, existindo em grande quantidade argilosas e misturadas e em pequena quantidade arenosas, pedregosas e pantanosas. A vegetação é representada por algumas mattas virgens, cerrados, carrascaes e campos. Preços — Um hectare de terra boa custa 200$000, aproximadamente."
AL;Viçosa;Varia muito conforme a qualidade.;A taxa é de 18 por cento ao anno.;"Trabalhador rural, seja colono ou camarada, 700 réis diários; administrador de fazenda, 480$000 a 700$000 annaes; escrivães de fazenda não ha; carpinteiro, 1$500 a 3$000 diários, não ha cozinheiras; as lavadeiras ganham por peças. Os salários são pagos e os contratos cumpridos.";"Qualidades - No município predominam as terras bôas e regulares, havendo poucas inferiores; algumas montanhosas, outras planas e frescas; havendo em grande parte terras argillosas e misturadas; arenosas, pedregosas e pantanosas em pequena quantidade. A vegetação é representada por mattas virgens, capoeiras, cerrados, carrascaes e campos. Preços — Um hectare de terra bôa, em condições especiais, custa 300$000, approximadamente. Entretanto há preços bem inferiores."
AL;Victoria;Variam, de 300 réis a 10$000 o metro.;Pagam 24°j ao anno, no mínimo.;"Cozinheira, 8$000 mensais; lavadeira, por peça; carpinteiro, 2$500 diários; trabalhador rural, 1$000; não há escrivães nem administradores de fazenda. Os salários são pagos e os contratos cumpridos.";"Qualidades - Predominam as regulares, havendo boas e inferiores; há mais misturadas do que arenosas e argilosas; há plantas montanhosas e pedregosas. A vegetação é representada por muitas capoeiras, cerrados e alguns carrascaes e campos. "" Preços — O hectare de terra boa, custa 40$000, mais ou menos."
CE;Acarahú;"Riscados de algodão 450 réis a 1$000 o metro; algodão-zinho de 400 a 700 réis; de cores 450 a 600 réis; cretones de cores 500 a 700 réis; morins 400 réis a 1$200; cambraia bordada 700 réis a 1$200; fustão 800 réis a 2$000; casimiras de lã 12$000 a 15$000; brins de algodão 700 réis a 2$000; chitas 500 réis a 1$200.";"Os agricultores não se oneram com juros; os criadores pagam de 1 a 1 ½ % ao mez.";"Um trabalhador rural ganha diariamente, a sécco, 18000 a 18200; com comida 500 a 600 réis; uma cozinhéira 108000 mensais; as lavadeiras cobram 20 réis por peça; um carpinteiro ganha 28000 a 28500 diários; não há administradores, nem escrivães de fazendas. Os salários são pagos e os contratos cumpridos.";"Qualidades - Ha terras bóas nas margens do rio Acarahú, nos baixios e vazantes de rios e riachos. Terras inferiores são encontradas geralmente no littoral; destas algumas ha, que podem ser cultivadas com vantagem, quando ha bons invernos. As terras, em geral planas, são, ora areposas, ora argillosas; poucas são pedregosas e muitas seccas. Não ha mattas, existe grande porção de capoeiras; na maioria dos campos ha bóa vegetação. Preços — Uma braça (10 palmos) de frente por meia legua de fundos custa 105000, mais ou menos."
CE;Aquiraz;"Nacionaes, de 500 réis a 1$000 o metro; estrangeiros, de 700 réis a 1$400. Nacionaes communs, 500 réis o metro; estrangeiros, 700 réis o metro.";A taxa é de 18 a 24% ao anno. A taxa é de 1 a 1000000, arceira, pão ferro e pão d'arco, etc.;"Um trabalhador rural ganha 1$000 diários, sem comida; não há administradores nem escrivães de fazenda; um carpinteiro ganha 3$000 diários; um cozinheiro, de 5$000 a 10$000 mensais; as lavadeiras cobram por peças. Os salários são pagos e os contratos cumpridos. Trabalhador rural, 2$000 diários; não há administradores nem escrivães de fazenda; carpinteiro, 5$000 diários; cozinheiro, 10$000 a 20$000 mensões; lavadeiras, lavam por peça, a razão de 20 réis. Os salários são pagos e os contratos cumpridos.";"Qualidades - O município tem terras de toda a sorte, bóas, regulares e inferiores. Argilosas, areuosas, misturadas, pedregosas, pantanosas, seccas, etc.; predominando, porém, as terras arenosas e planas. A vegetação é representada por capoeiras, carrascaes e campos. "" Preços — O preço das terras é muito variável. (Vide nota). TRASPORTE — Pagam de transporte, para Fortaleza, capital do Estado, em tropas, 20 réis, por litro de cereal, numa distância de 4 leguas, e para o mercado local 22 réis, para uma distância de cinco leguas. Qualidades - Há boas em Cambé, Beirada, Corregos de Gravata, Jacurutá do Coronel, Retiro, distrito de Areias, etc.; regulares, na zona das catingas arenosas, vizinhas do município de Cascavel; inferiores, as de carnaúbas. Quasi todo o município é plano e secco, tendo partes arenosas, argilosas e misturadas; as terras são pedregosas em pequena quantidade, no Cabreiro. A vegetação é representada por muitas capoeiras e carrascaes, poucos cerrados, e campos nas margens do rio Jaguaribe e Pirangi. Não há mattas virgens. Há vastos carnaubaes nas terras do município representando grande fonte de renda. Preços - Uma braça de frente, por tantas braças de fundo, em sitios de canna custa mais ou menos 50$000; de outras terras, vende-se a braça por 2$000 e 10$000, quando tem carnaúbas e fundos de meia legua."
