municipio,juros,salarios,terras,transporte
Nova Trento,A taxa de 6% ao anno.,"Trabalhador rural, 2$000 diarios, com alimento; nao ha.admi nistrador nem escrivaes de fazenda; carpinteiro,.3$000 a5$000 diarios ; cozinheiro, 30$000 mensaes ; lavadeira, 15$000 mensaes; os sao pagos e os contractos cumpridos.","Qualidades - Em sua maioria böas, havendo algunas regulares e inieriores; ha arenosas, argillosas e misturadas, nontanhosas e ealgins capos. Precos - Um hectare de terra bóa custa de 20$000 a 30$000 mais ou menos.","Para Tijucas 20o réis por arroba; para f6ra do municipio, 1o réis por arroba e kilometro, em carreta."
Palhoca,A taxa de 12% ao anno.,"Trabalhador rural, de 22$000 a 3$000 diarios; um administrador de fazenda;carpinteiro,de 5$000 a 6$000 diarios;lavadeira ou cozinheira, de 25$000 a 30$000 mensaes. Os salarios sao pagos e","Qualidades -Em sua maioria boas, havendo algumaa regulares c inferiores; a maior parte montanhosa e misturada. A vegetacao é representada por muitas mattas virgens e capoeiras e poucos campos e cerrados. Precos-Um hectare de terra boa custa de 10$000 a 30$000,appro ximadamente.","Pagam dc transporte, em carretas, para o interior 1$000 por 15 kilos para una certa e determinada distancia; para o mercado local, cm costas de burro, cobram seis reis por kilo ou litro de cereal e cm carretas, oito reis."
Paraty,Nao ha taxa fixa.,"Um trabalhador agricola ganha 1$500 a 2$000 diarios ; uma cozi. nheira, de 12$000 a 1s$000 mensaes; uma lavandeira, de 8$000 a 10$000 nmcnsaes; um carpinteiro, 4$000 a 6$000 diarios; nao ha administradores .nem escrivaes de fazenda. Os salarios sao pagos","Qualidades --- Sao variadas as terras do municipio; sendo conside radas boas, as misturadas e de alluviao,dos valles dos rios Itapoci e Itaperü; regulares, as argillosas e arenosas de Barra Velha; e inferiores, as proximas as praias : ha terrenos montanhosos, pedre- tada por mattas virgens,capoeiras e cerrados cultivado, um pouco mais. Estes precos sao mais ou menos. para o mercado local custa de 200 a 3co réis.",
Porto Bello,A taxa de 12% ao anno.,,"Qualidades--Ha grande parte, de terras boas e regulares, e pequena parte, de inferiores. As terras argillosas ficam localizadas na margem do rio Pereque e na zona huimida da planicie;as arenosas na faixa do littoralestas e as misturadas occupam uma pequena parte do territorio. As terras planas occupam grandes areas,e ficam entre o mar e as mcntanhas; estas quasi deshabitadas e occupam pequena parte do municipio.As terras do terco supcrior das montanhas sao pedregosas. Sao seccas as terras de areias c os logares situados nas montanhas onde, vegetani taquaras. As mattas virgens ficam nas.nontanhas,as capoeiras naplanicie e nos pequenos mcrros do littoral. Quasi nao ha cerrados, nem carrascaes, nemcanpos. Precos-Um hcctarc de terra boa custa de 20$000 a 40$000 approximadamente.","Pagam pelo transporte maritimo, para Florianopolis, 50o réis por sacco de &o litros; e pelo transporte.terrestre, 1$000 por uma arrdba. Para o mercado local pagam 6 réis por litro de cereaes, variando o preco de conformidade con a distancia."
S. Bento,A taxa é de 8% ao anno.,"Trabalhador rural, 3$500 diarios; cozinheira,de 20$000 a 25$000 mensaes; lavadeira. de 15$000 a 20$000 mensaes ; carpin- teiro, 4$000 :diarios; nao ha administradores nen escrivacs de fazenda.","Qualidades - Ha.boas e regulares, sendo porém, a maioria de inferiores,terrasie hervaes,pinheiraes e taquaracs; sao tamben onduladas c .as rcstantes niontanhosas e planas. A vege- tacao é representada por.muitas mattas e capoeiras e alguns campos. Precos-- E' muito variavel.","Em carrocas paga-se 5oo réis por arroba, para os portos de exportacao.Para o mercado local os productos sao transportados pelo productor."
S. Francisco,Nao ha taxas fixas.,"Trabalhador rural, 1$500 a 2$000 diarios; cozinheira, 15$000 a 25$000 mensaes; lavadeira, 10$000 a 15$000. mensaes; carpinteiro. 4$000 a 6$000 diarios administradores de fazendas ou cscrivaes nao ha. Os ajustes de salarios e os contractos sao cumpridcs.","Qualidades--Ha boas, regulares e. inferiores.Ha poucas mattas e muitos cerrados c.alguns canpos. Precos-O custo de ym lectare de terra boa é,approximadamente, de 40$000.","O custo. de trausporte para o mercado local, de uma sacca de cereaes,e dc 20o a 3co réis."
S. Joaquim da Costa da Serra,A taxa é de 12% ao anno.,"Trabalhador rural, 50o réis a 2$000 diarios; administrador de fazenda,150$000 a 200$000 mensaes;nao ha escrivaes de fazenda; carpinteiro, 5$000 a 8$000. diarios; cozinheira, 15$000 mensaes; lavadeira, 20$000 a 25$000. mcnsaes. Os salarios sao pagos e os","Qualidades-Sac boas em sua maioria, havendo regulares en pequena parte; as terras de fachinacs sao no geral inferiores. As terras da parte sul, do rio Caveiras, sao argillo-silicosas c as da parte norte, sao arenosas sao misturadlas as das margens dos rios. Os campos sao ondulados, as terras marginacs dos rios Pelctas c Lavatudo, sao montanhosas. Metade das terras do municipio sao pedregosas (regiao sul de Caveiras, onde abunda a pedra de ferro). Sao seccas as terras dos fachinaes, margeando os campos e muito poucas sao as terras pantanosas.. Quanto a vegetacao, as mattas. virgens occupam a pequena parte das montanhas do districtc do Cerrito e as capoeiras uma pequena area (zona de cultura). Os campos cobrem a maior parte do municipio. CRIACAO-Precos - Um hectare de terra boa custa 10$000 a 40$000, approximadanmente.","Pagam de transporte. cm cargueiro, Eor um kilo de mercadorias agricolas,para o littoral.120 reis.Para o mercado local, pagam 50 réis."
S. Jose,A taxa é.de 12% por cento ao anno.,"Trabalhador rural, 22$000 a 3$000 diarios; administrador de fa zenda,150$000 a 200$000 mensaes;nao ha escrivaes de fazenda; carpinteiro, 5$000 a 6$000 diarios; cozinheiro ou lavadeira, 15$000 30$000 mensaes; os salarios sao pagos e os contractos geralmente","Qualidades - Em sua maioria boas; ha misturadas, argillosas e arenosas;planas e montanhosas.A vegetacao é representada por mattas virgens, capoeiras e cerrados. IT maisoumenos.","$ - Um litro de cereal paga para o mercado local, oito réis, quando em carreta e seis réis quando em costas de burro. Para o interior paga-se 1$000 por 15 kilos."
Tijucas,Nao ha taxa fixa.,"Trabalhador rural, de 1$500 a 2$000 diarios, cozinheira, de 12$000 a 15$000 mensaes; lavadeira,de 8$000 a 10$000 mensaes; carpinteiro, de 3$000 a 5$000 diarios; nao ha administradores nem escrivaes de fazenda. Os salarios sao. pagos e os contractos","Qualidades-Ha no municipio diversas qualidades de terrassao geralmente boas as misturadas e argillosas, principalmente nas proximidades de Nova-Trento, sendo as terras regulares e infe- riores,as arenosas.O municipio é pouco accidentadc; a vegetacao é representada por poucas mattas virgens, muitas capoeiras, cerrados e alguns campos. Precos --O hectare de terra boa é vendido de 30$000 a 40$000, mais ou_menos.","Custa 2oo a 3oo réis o transporte de uma sacca de cereal, com dois alqueires para o mercado local."
Tubarao,A taxa mais usual é de 12% ao anno.,,"Qualidades-Metade mais ou menos, böas e outra metade, talvez, de terras regulares c inferiores; ha planas c montanhosas, argillosas, e arenosas. Os terrenos, alagadicos que. os ha, sao utilisados para plantio do arroz: Na zona montanhosa acham-se os nucleos coloniaes. A vegetacao.é representada por mattas virgens, nas zonas montanhosas, principalmente por capoeiras, alguns cerrados,campos,etc. Precos -Nas proximidades da cidade, um hectare de terra boa custa 300$000 e no interior,15$000 a 30$000 mais ou menos.",Para o mercado local o prcco é de 25 reis por litro ca kilo de cereaes e em ferro-via de 10 a 50 réis por 1o kiios.
Urussanga,A taxa de 8% a anno.,"Um. trabalhador rural ganha de 3$000 a 5$000 diarios; nao ha alministradores nem.escrivaes de fazenda; carpinteiro, 5$000 a 6$000 diarios; cozinheiro, 15$000 a 20$000 mensaes; lavadeira, 20$00 mensaes; os salarios sao pagos e os contractos. cumpridos.","Qualidades - A maior parte boas,algumas regulares e inferiores, argillosas e misturadas. Mais montanhosas do que planas. A vegeta- cao é representada por algtumas mattas virgens c muitas capoeiras. ceriados,carrascacsnem.campos. Precos - Um hectare de terra póde custar de 20$000 a 40$000, mais ounenos.",Qma arroba ou I5 kilos paga 25o réis de Laguna até a feito em carros de bois.
