municipality,state,mun_hist,foundation_hist
boca-da-mata,al,"Com suas poucas casas de taipa logo Boca da Mata passou a povoado. A iluminação era a querosene. A população se servia de água de açudes, poços e cacimbas. Nessa época já havia uma capela construída de taipa, onde hoje é a Matriz de Santa Rita. Aos poucos foram surgindo algumas casas comerciais e uma pequena feira. Os transportes eram cavalos, carro de bois, aparecendo em seguida charretes e outros veículos. Algum tempo depois, foi instalada energia elétrica a motor. Já funcionavam algumas escolas particulares e públicas. A primeira professora foi a Srª Ana Vicência da Cunha. Sabe-se que Boca da Mata recebeu esse nome pelo fato das primeiras residências das quais se tem notícia terem sido construídas à entrada da grande mata que se estendia rumo a Atalaia. As terras da região pertenciam ao engenho Santa Rita de propriedade do Senhor Antônio Pinto da Cunha Coutinho.Gentílico: matense","Em divisão administrativa referente ao ano de 1911, figura no município de SãoMiguel dos Campos, o distrito de Boca da Mata.Em divisão administrativa referente ao ano de 1933, o distrito não figura nomunicípio de São Miguel dos Campos.Em divisões territoriais datadas de 31-XII-1936  e 31-XII-1937, o distrito de Boca daMata volta a pertencer ao município de São Miguel dos Campos.Assim permanecendo em divisão territorial datada de 1-VII-1955.Elevado à categoria de município com denominação de Boca da Mata, pela leiestadual nº 2085, de 26-12-1957, desmembrado de São Miguel dos Campos. Sede no antigodistrito de Boca da Mata. Constituído do distrito sede.Pelo Acórdão do Supremo Tribunal Federal, de 18-08-1958 (representação nº 358), omunicípio foi extinto, voltando a condição de distrito no município de São Miguel dosCampos.Elevado novamente à categoria de município com a denominação de Boca da Matapela lei estadual nº 246, de 11-11-1958, desmembrado de São Miguel dos Campos. Sede noantigo distrito de Boca da Mata. Constituído do distrito sede. Instalado em 31-12-1958.Em divisão territorial datada de 1-VII-1960, o município é constituído do distritosede.Assim permanecendo em divisão territorial datada de 2007. IBGE"
branquinha,al,"A história não registra muitas informações sobre as origens do município de Branquinha pois os documentos e demais informações que facilitariam o trabalho de pesquisa. foram destruídos pela enchente do rio mundaú, ocorrida em 1949. A Prefeitura Municipal de Murici, onde se encontravam os arquivos, foi totalmente inundada.Os historiadores conseguiram resgatar que a colonização da cidade começou por volta de 1870. Moradores recém-chegados de outras regiões foram instalando pequenos sítios. O lugar foi crescendo às margens do rio Mundaú.O progresso da região foi impulsionado a partir de 1955, quando lideranças locais começaram a lutar pela emancipação política. Nomes como Pedro Temóteo Filho, Manoel Gomes Peixoto e Emílio Elizeu Maia de Omena faziam parte desse grupo. Só em 1962, através de uma lei, é que o município conseguiu a emancipação, sendo desmembrado de Murici.A cidade de branquinha foi atingida por várias enchentes provocadas pelo rio Mundaú, depois dá de 1949, veio a de 1962, 1969 e 2000, deixando parte da população desabrigada e moradias demolidas, apesar da reconstrução, foram criados os conjuntos COAB, João Lira , Alto São Simeão e São Sebastião dando maior segurança aos moradores da cidade.Embora seja um município sem atrativos turísticos naturais, Branquinha chama a atenção de visitantes por conta da animada programação de festividades, garantida pela animação de sua população em boa parte do ano. Como atrativos turisticos o municipio oferece aos visitantes em janeiro, acontece a festa do padroeiro, São Sebastião (dia 20); fevereiro, um dos carnavais bastante animados da região ; a Emancipação Política (18 de maio); os festejos juninos e ainda o Festival da Batida, onde a iguaria é apreciada em diversos sabores (realizado entre os meses de novembro e dezembro). Além desses tem o mirante e a antiga estação ferroviaria.O sustentativo econômico do municipio é a lavoura destacando-se as plantações de cana-de-açucar, laranja, mandioca, batata bem como a pecuária.A feira livre apresenta um bom desenvolvimento em virtude da existência de 5 assentamentos com plantações de lavouras de subsistências, comercializadas na sede e nos municípios vizinhos.Localização: Situa-se na Microrregião da Mata Alagoana, sendo seus limites: União dos Palmares, Murici e Capela, Viçosa, Chã Preta, Santana do Mundaú, Joaquim Gomes e Flexeiras.Gentílico: branquinhense","Em divisões territoriais datadas de 31-XII-1936 e 31-XII-1937, figura no muicípio de Muricí, o distrito de Branquinha.Assim permanecendo em divisão territorial datada de 1-VII-1960.Elevado á categoria de município com a denominação de Branquinha, pela lei estadual nº 2446, de 18-05-1962, desmembrado de Muricí. Sede no antigo distrito de Branquinha. Constituído do distrito sede. Instalado em 03-08-1962.Em divisão territorial datada de 31-XII-1963, o município é constituído do distrito sede.Assim permanecendo em divisão territorial datada de 2007. IBGE"
cacimbinhas,al,"CacimbinhasAlagoasHistoricoA origem do atual município de Cacimbinhas teve como local, o antigo Sítio Choan, onde caçadores procedentes de Pernambuco costumavam acampar para descanso. Próximo à sua sede, existia uma cacimba junto a um pé de limoeiro. Com o movimento crescente de pessoas que faziam suas estradas, outras cacimbas foram abertas, firmando o topônimo Cacimbinhas para a localidade que ali começava a florescer.Acredita-se que os primeiros habitantes chegaram ao local por volta de 1830. Tem-se notícia que o alferes João da Rocha Pires, homem de abastados recursos e procedente de Sergipe, adquiriu terras num total de 20 léguas que se estendiam da Serra Branca até Palmeira de Fora. Levantou sua morada no local Santa Cruz, ali construindo uma capela que é a mais antiga da região. Um de seus 3 filhos, Felix da Rocha, contraiu matrimônio e foi localizar-se exatamente onde hoje é o centro da cidade e em cujo local já residia seu sogro, Amaro da Silva, que chegara em 1840, procedente de Arapiraca. São eles considerados os autênticos fundadores de Cacimbinhas.Em 1903, foi elevado a categoria de povoado pertenda região. Servia de posto de passagem de viajantes e transformou-se em pouco tempo, numa estrada comercial. Poucos anos antes, tinham sido construídos 2 açudes. Em 1893, chegou a Cacimbinhas José Gonzaga, que contribuiu a casa no sentido de arruamento e logo após outra, que serviu como ponto comercial. Pouco depois, criou a primeira feira que alcançou movimento extraordinário, chamando a atenção de moradores e comerciantes de localidades vizinhas. Na sua ânsia de progresso associou-se a Clarindo Amorim para a construção da linha de telégrafo ligando Palmeira dos Índios a Santana do Ipanema. Fatores contrários impediram a concretização do empreendimento e José Gonzaga foi a falência. Transferiu-se para o Amazonas, dedicando-se a extração de borracha, na época grande fonte de riqueza. Poucos anos depois falecia, longe da terra que tanto amara. Clarindo Amorim, mais tarde, chegou a ser prefeito de Palmeira dos Índios.Em 1903, foi elevado à categoria de povoado pertencente à Palmeira dos Índios. Em 1905, a sede do distrito de Santa Cruz, é transferida para Cacimbinhas, levando-se em conta seu progresso vertiginoso. O documento legal era a Resolução nº 454, de junho daquele ano. Sua emancipação política ocorreu por força da Lei nº 2108 de 19 de setembro de 1958, sendo sua instalação oficial a 1o de fevereiro de 1959, desmembrando de Palmeira dos Índios e formando apenas um distrito, o da sede, situação que permanece até hoje.Cacimbinhas tem dois pontos de interesse turístico: a Serra do Cruzeiro, onde existe a capela de São Francisco, datada de 1830 e o castelo medieval da Fazenda Alfredo Maya. A animação da população está sempre presente nas suas festas: dos Santos Reis no dia 06 de janeiro, Baile de Sábado de Aleluia, Forró Fest em junho, festa da padroeira Nossa Senhora da Penha no dia 8 de setembro, festa da Emancipação Política dia 19 de setembro e o conhecido Baile Macabro comemorada em novembro.SITUAÇÃO: Situa-se na Micro-Região de Palmeira dos Índios (115), sendo limites: Dois Riachos, Major Isidoro, Igaci, Estrela de Alagoas, Minador do Negrão e Iati (Pernambuco).Distante 189 Km da capital. Está localizado à 300 metros acima do nível do mar. Coordenadas geográficas: 9º 23'54' de latitude sul e 36º 59'07' de longitude W. Gr.CLIMA: Apresenta-se com um clima quente, com máximas de 36º e mínima 20º. A estação invernosa começa em maio para terminar em julho.ÁREA: Tem uma área de 272,79 Km². IBGE",NA
cajueiro,al,"Cajueiro tem sua origem, como povoado, nos meados do século XIX, às margens do Rio Paraíba, formado pela família Marcelino.Os migrantes do sertão em demanda a Pilar e a Maceió descansavam seus animais à sombra de frondoso cajueiro. Aí, a denominação da localidade.Em 1904, Cajueiro foi  elevado à categoria de município, vindo a perder a sua autonomia em 1912.No ano de 1958 foi, novamente, elevado à município, com área desmembrada de Capela.Gentílico: cajueirense","Elevado à categoria de município com a denominação de Euclides Malta antes Chamada de Paraíba, pela lei estadual l nº 427, de 10-07-1904. desmembrado de Capela. Sede na povoação de Cajueiro. Constituído do distrito sede.Pelo decreto estadual nº 571, de 20-06-1912, transfere a sede da povoação de Cajueiro para a povoação de Paraíba.Em divisão administrativa referente ao ano de 1933, Cajueiro é distrito do município de Capela.Assim permanecendo em divisões territoriais datadas de 31-XII-1936 e 31-XII-1937.Pelo decreto-lei estadual nº 2909, de 30-12-1943, o município de Capela passou a denominar-se Conceição do Paraíba.No quadro fixado para vigorar no período de 1944-1948, o distrito de Cajueiro, figura no município de Conceição do Paraíba.Pela lei estadual nº 1473, de 17-09-1949, o município de Conceição do Paraíba volta a denominar-se Capela.Em divisão territorial datada 1-VII-1950, o distrito de Cajueiro figura no município de Capela ex-Conceição do Paraíba.Assim permanecendo em divisão territorial datada de 1-VII-1955.Elevado à categoria de município com a denominação de Cajueiro, pela lei estadual nº 2096, de 22-05-1958, desmembrado de Capela. Sede no antigo distrito de Cajueiro. Constituído do distrito sede. Instalado em 01-02-1959.Em divisão administrativa de 1-VII-1960, o município é constituído do distrito sede,Assim permanecendo em divisão territorial datada de 2007.Transferência de sedePelo decreto estadual nº 571, de 20-06-1912, transfere a sede municipal da povoação Euclides Malta para Cajueiro. IBGE"
campestre,al,"Campestre Alagoas - ALHistóricoOs registros históricos do município de Campestre estão ligados ao município de Jundiá, de quem foi povoado desmembrado. O nome do povoado se originou dos verdejantes campos existentes em meados do século XVIII entre os morros que circundavam toda a região, a princípio com poucas casas. Com a construção da estrada que ai até Palmares, no Estado de Pernambuco, Campestre começou a se desenvolver. O povoado se estabeleceu com a instalação das atividades industriais da Usina Santa Therezinha, atualmente desativada e da feira livre, considerada a maior da região, superando progressivamente a sede do município.Na administração de José Ribeiro Caminha, em Jundiá, ocorreu o processo de desapropriação de terra, facilitando o crescimento urbano, também fizeram parte da evolução do povoado Domingos Barreto da Silva e Antonio Sijames Granja. O padre, Francisco Gerardi esteve à frente da construção da primeira igreja, em 1926, erguida em homenagem a São José.A luta pela emancipação começou em 1987, com o prefeito, Gervásio de Oliveira Lins, na época prefeito de Jundiá. No ano 1988, aprovado na Câmara de Vereadores, em 1988, o deputado estadual José Medeiros encampou o movimento. E em 25 de novembro de 1994, o governador Geraldo Bulhões, sancionou a lei que concedeu autonomia administrativa a Campestre.Os pontos de encontro da cidade são a área de lazer, a quadra de esportes, o clube municipal e a Prainha do Val, no rio Jacuípe. A atração turística ainda em fase de implantação será o Parque Ecológico Serra da Pedra. E as principais festividades são: a festa do padroeiro, São José no dia 19 de março e da emancipação comemorada dia 25 de novembro.Gentílico: camprestrenseFormação administtrativaDistrito criado com denominação de Campestre, no município de Jundiá.Art. 41, inciso II, do Ato das Disposições Constitucionais Transitórias, da Constituição Estadual de 05-10-1989, confirmado pela Lei Estadual nº 5641, de 21-111994, que define os seus limites, desmembrado de Jundiá. Sede no distrito de Campestre ex-Povoado Campestre de Jundiá. Constituído do distrito sede. Instalado em 01-01-1997.Em divisão territorial datada de 1-VII-1997, o município é constituído do distrito sede.Assim permanecendo em divisão territorial datada de 2007. IBGE",NA
campo-alegre,al,"Segundo dados históricos, em fins do século XVIII, o cacique de uma tribo açona, habitante da região de Porto Real do Colégio, raptou Ana Margarida de Barros, filha de rico proprietário português, que atravessou o rio São Francisco fugindo da seca que assolava Sergipe. Ana Margarida e o cacique passaram a residir em Salomé (hoje Sebastião) tendo, mais tarde, se casado em Penedo.Dessa união, nasceu Antônio de Barros que, alguns anos depois, chegou ao local onde hoje se ergue a sede do município de Campo Alegre. No lugar chamado Mosquito de Cima, próximo ao engenho Mosquito, situado em Mosquito de Baixo, comprou pequeno rancho de sapé e cabeças de gado. O fato é considerado como primeiro passo para a colonização.Segundo documentos encontrados, já em 1870, falava-se do distrito de Mosquito, pertencendo a São Miguel dos Campos. O Cartório do Registro Civil data de 1908. Uns missionários que passaram pelo lugarejo deixaram aí uma imagem de Bom Jesus dos Aflitos, Padroeira da Cidade.A denominação foi mudada pelo Padre Júlio de Albuquerque que, escrevendo a um amigo afirmou: “Isto aqui é Campo Alegre”, pelo fato do povoado ter sido edificado em um Chapadão de onde se vislumbrava belo panorama. Em divisão administrativa referente ao ano de 1911 figura no município de São Miguel de Campos o distrito de Campo Alegre do Mosquito.Em divisão administrativa referente ao ano 1933 o distrito de Campo Alegre não aparece.Em divisão territorial datada de 31-XII-1936, o distrito se denomina simplesmente Campo Alegre e figura no município de São Miguel de Campos.Em divisão territorial datada de 31-XII-1937 o município aparece grafado São Miguel dos Campos.Pelo Decreto-lei Estadual n.º 2.909, de 30-12-1943, o distrito de Campo Alegre passou a denominar-se Mosquito.No quadro fixado para vigorar no período de 1944 a 1948, o distrito de Mosquito figura no município de São Miguel dos Campos.  Assim permanecendo em divisão territorial datada de 1-VII-1950.Pela Lei n.º 1.637, de 05-08-1952, o distrito de Mosquito voltou a denominar-se Campo Alegre.Em divisão territorial datada de 1-VII-1955 o distrito de Campo Alegre figura no município São Miguel dos Campos.Elevado à categoria de município com a denominação de Campo Alegre pela Lei Estadual n.º 2.086, de 26-12-1957, sendo desmembrado de São Miguel dos Campos. Sede no antigo distrito de Campo Alegre. Constituído do distrito sede.Pelo Acórdão do Superior Tribunal Federal, de 18-08-1958, representação n.º 358, é extinto o município de Campo Alegre, sendo seu território anexado ao município de São Miguel dos Campos, como simples distrito.Elevado novamente à categoria de município com a denominação de Campo Alegre pela Lei Estadual n.º 2.241, de 08-06-1960, sendo desmembrado de São Miguel dos Campos. Sede no antigo distrito de Campo Alegre. Constituído do distrito sede. Instalado em 16-06-1960.Em divisão territorial datada de 1-VII-1960, o município é constituído do distrito sede. Assim permanecendo em divisão territorial datada de 2014. Alagoas (AL). Associação dos Municípios Alagoanos. 2016. Disponível em: http://www.ama.al.org.br/municipio/campo-alegre/. Acesso em: jul. 2016.",NA
campo-grande,al,"As origens do atual município de Campo Grande remontam de 1800, com a chegada dos primeiros colonizadores. Pequenos sítios e casas foram se aglomerando na região. As planícies garantiam boas pastagens, ideais para a criação de gado e ovelhas. Os campos tinham grandes proporções e, daí, o lugar ficou conhecido como Campo Grande.O desenvolvimento do núcleo só recebeu impulso quando passou pelo local a estrada de ferro. Com a chegada dos trabalhadores e a implantação do acampamento, em 1939, cresceu o movimento. As famílias Leandro, Mandus e Pinheiro lideraram o comércio, como pioneiros.Comércio se fortaleceu com a venda das reses abatidas aos sábados. Essa pequena feira atraiu comerciantes de várias localidades e foi um grande progresso. Quando a estação foi concluída, recebeu o nome de Gordilho de Castro, engenheiro responsável pelas obras. Em 1944, a primeira igreja edificada foi destruída pela explosão no depósito de dinamites usadas pelos operários na construção da ferrovia. A própria comunidade construiu a nova igreja.Para a emancipação política, destacaram-se João Paulo Moura, Enoque Barbosa Ramos, José Raimundo dos Santos, Leocádio Soares da Silva, José Bráulio dos Santos, Manoel Egídio de Lima e João Ferreira Cavalcante. Em maio de 1960, houve a autonomia administrativa, com o desmembramento do município de São Braz.Campo Grande atrai centenas de visitantes com sua tradicional Feira de Gado, a segunda maior de Alagoas. Duas festas também animam a cidade: A Emancipação Política (31 de maio) e a da padroeira Santa Luzia (13 de dezembro).Gentílico: campo-grandense","Distrito criado com a denominação de Campo Grande ex-povoado, pela lei estadual nº 2046, de 27-06-1957, subordinado ao município de São Brás.Elevado á categoria de município com a denominação de Campo Grande, pela lei estadual nº 2330, de 31-05-1960, desmembrado de São Brás. Sede no antigo distrito de Campo Grande ex-povoado. Constituído do distrito sede. Instalado em 14-08-1960.Em divisão territorial datada de 31-XII-1963, o município é constituído do distrito sede.Assim permanecendo em divisão territorial datada de 2007. IBGE"
canapi,al,"O município de Canapi é relativamente novo e teve origem em uma propriedade denominada 'Cavalo Morto, pertencente a Cipriano Gomes da Silva. A casa grande da fazenda situava-se onde hoje está a prefeitura. Em 1948 começaram os primeiros movimentos relacionados à formação do núcleo habitacional no lugarejo. Destacava-se Joaquim Tetê, considerado como o pioneiro na colonização. Atualmente, a avenida principal da cidade tem o nome dele.Na mesma época, chegou a Canapi Luis Bastos, funcionário do DNOCS, para construir uma ponte sobre o rio Canapi. As obras de implantação da BR-316 estavam alcançando o rio. Muitos trabalhadores vieram com Luis Bastos e logo se formou um aglomerado urbano. Foram construídos vários barracos e em pouco tempo era um povoado.Luis Bastos ficou entusiasmado com o movimento em Canapi e implantou uma feira, que despertou a atenção de moradores da região e de lugares vizinhos. Então, Joaquim Tetê resolveu batizar sua propriedade de Canapi Velho, considerando os aspectos do desenvolvimento do novo povoado. A primeira casa de alvenaria foi feita para ser um pequeno hotel. Em 1956 houve a construção da igreja reformada e ampliada em 1970 - que hoje é a matriz de São José, padroeiro da cidade.O movimento de emancipação política teve à frente Eraldo Malta Brandão e Pompilho Brandão de Alcântara, chefes de famílias que também se instalaram na região e conseguiram grande controle político e administrativo. Em 1962, Canapi conseguiu autonomia administrativa. Suas principais festividades são a festa de Emancipação (22 de agosto) e do padroeiro São José (19 de março).Gentílico: canapiense","Elevado á categoria de município e distrito com a denominação de Canapi, pela lei estadual nº 2461, de 22-08-1962, desmembrado de Mata Grande. Sede no atual distrito de Canapi. Constituído do distrito sede. Instalado em 20-11-1962.Em divisão territorial datada de 31-XII-1963, o município é constituído do distrito sede.Assim permanecendo em divisão territorial datada de 2007. IBGE"
capela,al,"A povoação que daria origem ao município pertenceu ao município de Atalaia. Acredita-se que sua origem seja ligada à construção de uma capela dedicada a Nossa Senhora da Conceição, levantada em meados do século XVIII. Manoel Ferreira Dessa já era morador da localidade em 1830 e construiu um engenho de rapadura onde hoje é a Rua do Engenho Velho.Após décadas de reivindicações pela população, o município foi criado em 1890 com o nome de Paraíba. Em 1904, a sede do município foi instalada em Cajueiro com o nome de Euclides Malta. Em 1912, a sede do município voltou a Capela, restaurando-se a denominação de Paraíba. Em 1920 foi elevada a comarca, e o nome seria mudado poucos anos depois para Capela. Elevado à categoria de vila com denominação de Capela, pelo Decreto Estadual n.º 52, de 16-10-1890, desmembrado de Atalaia. Sede na povoação de Capela ou Paraíba. Instalado em 30-11-1890.Pela Lei Estadual n.º 427, de 10-06-1904, transfere a sede da povoação de Capela para de Cajueiro com a denominação de Euclides Malta.Pela Lei Provincial n.º 499, de 26-11-1868, é criado o distrito de Arrasto e anexado ao município de Euclides da Malta.Em divisão administrativa referente ao ano de 1911, a vila de Euclides da Malta (ex-Capela) é constituída de 3 distritos: Euclides da Malta, Paraíba e Arrasto.Pelo Decreto Estadual n.º 571, de 30-07-1912, foram restabelecidos a sede de Capela com a denominação de Paraíba.Elevado à condição de cidade com a denominação de Paraíba, pela Lei Estadual n.º 805, de 02-06-1919.No quadro de apuração do Recenseamento Geral de 1-IX-1920, o município de Paraíba aparece constituído de 3 distritos: Paraíba, Cajueiro e Capela.Pela Lei Estadual n.º 1.144, de 25-05-1929, é alterado o nome do município de Paraíba para Capela.Em divisão administrativa referente ao ano de 1933, o município é constituído de 2 distritos: Capela e Cajueiro.Em divisões territoriais datadas de 31-XII-1936 e 31-XII-1937, o município aparece constituído de 3 distritos: Capela, Cajueiro e Santo Efigênia.Pelo Decreto-lei Estadual n.º 2909, de 30-12-1943, o município de Capela passou a denominar-se Conceição da Paraíba.No quadro fixado para vigorar no período de 1944-1948, o município é constituído de 3 distritos: Conceição da Paraíba ex-Capela, Cajueiro e Santa Efigênia.Pela Lei Estadual n.º 1473, de 17-09-1949, o município de Conceição da Paraíba volta a denominar-se Capela.Em divisão territorial datada de 1-VII-1950, o município é constituído de 3 distritos: Capela ex-Conceição da Paraíba, Cajueiro e Santa Efigênia.Assim permanecendo em divisão territorial datada de 1-VII-1955.Pela Lei Estadual n.º 2096, de 22-05-1958, desmembra do município de Capela o distrito de Cajueiro. Elevado à categoria de município.Em divisão territorial datada de 1-VII-1960, o município é constituído de 2 distritos: Capela e Santa Efigênia.Assim permanecendo em divisão territorial datada de 2015. Capela (AL). Prefeitura. 2017. Disponível em: http://capela.al.gov.br/a-cidade/historia/. Acesso em: maio 2017.",NA
carneiros,al,"O município de Carneiros registra suas origens na história recente de Alagoas. Os primeiros registros indicam, apenas em 1923, a existência de uma única casa - integrante do Sítio Carneiros - propriedade de João Francisco, que deu esse nome ao lugar por conta de uma cacimba - de acordo com os moradores locais - que teria sido aberta por um carneiro. Daí sua primeira denominação ter sido 'Cacimba do Carneiro', sendo depois reduzida apenas para Carneiros.Virgulino Ferreira, o destemido Lampião, teve sua passagem registrada na história do município no dia 02 de dezembro de 1930. Para os moradores, porém, o fato não teve grande importância. Os primeiros comerciantes foram Adão Vieira de Melo e seu cunhado José Lino, que, junto, aos pioneiros Alfredo Rodrigues Melo e Euclides Alves Feitosa deram início ao desenvolvimento da localidade, fazendo com que agricultores de outras regiões - atraídos pela fertilidade das terras - se instalassem na região.A primeira missa e também a primeira feira do povoado foram realizadas em 25 de dezembro de 1945, atraindo grande número de pessoas de toda a região, e transformando-se numa tradição dominical . O então povoado de Carneiros foi elevado a distrito em 1960, subordinado a Santana do Ipanema. Liderada por Alfredo Rodrigues de Melo, Agenor Rodrigues dos Anjos, Oton Gaspar de Farias, José Alves Bulhões, Ormindo Joaquim de Santana, Eronildes Soares Ribeiro, entre outros, a emancipação política ocorreu em 11 de julho de 1962.Os festejos do município resumem-se na festa da padroeira, Nossa Senhora da Conceição, e a da emancipação, ambas bem movimentadas.Gentílico: carneirense","Distrito criado com a denominação de Carneiros ex-povaodo, pela lei estadual nº 2054, de 20-08-1958, subordinado ao município de Santana do Ipanema.Em divisão territorial datada de 1-VII-1960, o distrito de Carneiros, figura no município de Santana do Ipanema.Elevado á categoria de município com a denominação de Carneiros, pela lei estadual nº 2454, de 11-07-1962, desmembrado de Santana do Ipanema. Sede no atual distrito de Carneiros ex-povoado. Constituído do distrito sede. Instalado em 26-07-1962.Em divisão territorial datada de 31-XII-1963, o município é constituído do distrito sede.Assim permanecendo em divisão territorial datada de 2007. IBGE"
cha-preta,al,"A colonização de Chã Preta teve início por volta de 1865, onde hoje está o prédio da prefeitura. Lá ficava a sede da fazenda Chã Preta, da família Inácio, que eram da raça negra, motivo pelo qual a cidade ganhou sua denominação.O movimento da localidade, que continuou com o nome de Chã Preta e pertencia a Viçosa cresceu rapidamente e, em 1909, foi criada a feira. A primeira capela foi construída na mesma época, na antiga propriedade, doada por Terezinha de Jesus Brandão à Nossa Senhora da Conceição.Próximo a Chã Preta existia uma localidade de nome Tobias, onde se realizava a feira. Boa parte dos habitantes queria que o centro do povoado fosse para lá transferido. Logo, porém, o local entrou em decadência e Chã Preta continuou seu desenvolvimento. No período de 1938 a 1947, a cidade ficou abandonada pelos administradores de Viçosa e o movimento em defesa da emancipação começou a se formar. A disputa causou um fato inédito na administração pública alagoana: a subordinação de Chã Preta a Correntes, município pernambucano, para onde o movimento local foi desviado.Com a Constituição de 1946, Chã Preta passou a ter representação na Câmara de Vereadores de Viçosa. Liderado por José Firmino Teixeira de Vasconcelos, Isidoro Teixeira, Armando Soares e o ex-governador Luiz Cavalcante, o movimento pela emancipação chegou ao auge. Em 1962, o povoado foi emancipado.A valorização da cultura popular de Alagoas é um dos principais atrativos de Chã Preta, que também tem no clima serrano seu ponto forte. Entre as festividades destacam-se a Semana Cultural (março) e a Festa da Emancipação (11/03).Gentílico: chã-pretense","Distrito criado com a denominação Chã Preta pelo decreto nº 2435, de 30-11-1938, subordinado ao município de Viçosa.No quadro fixado para vigorar no período de 1939-1943, o distrito de Chã Preta, figura no município de Viçosa.Pelo decreto-lei estadual nº 2909, de 30-12-1943, o município de Viçosa passou a denominar-se Assembléia.Em divisão territorial datada 1-VII-1950, o distrito de Chã Preta, figura no município de Assembléia.Elevado á categoria de município com a denominação de Chã Preta, pela lei estadual nº 2432, de 03-11-1962, desmembrado de Viçosa. Sede no antigo distrito de Chã Preta. Constituído do distrito sede. Instalado em 11-03-1962.Em divisão territorial datada de 31-XII-1963, o município é constituído do distrito sede.Assim permanecendo em divisão territorial datada de 2007. IBGE"
coite-do-noia,al,"A colonização das terras do atual município de Coité do Nóia associa-se à história de Limoeiro de Anadia e Arapiraca.A família Nóia, pioneira daquela região, era proprietária das primeiras quatro casas que lá existiam, pelos idos de 1880, conforme depoimento do mais antigo morador da cidade. Manoel Jô da Costa, oriundo de Limoeiro de Anadia, fixou-se naquela área pouco tempo depois, dedicando-se à agricultura e à atividade pastoril.O local ligava-se a Limoeiro de Anadia e a Arapiraca por diversas veredas pequenas.Por volta de 1922, na divisão administrativa do Estado de Alagoas, consta como um lugarejo pertencente ao município de Limoeiro de Anadia. Segundo a obra “Terra das Alagoas”, de Adalberto Marroquim, naquela época existia em Coité uma escola pública mantida pelo Estado.Com o passar do tempo e a chegada de famílias procedentes de outros municípios, a comunidade foi aumentando. Desse modo, Manoel Marques, de Pernambuco, Manoel Cazuza, de Arapiraca, bem como as famílias Bernardino e Virgem, juntaram-se aos primeiros moradores do lugarejo que tomou forma de povoado. Um intercâmbio maior entre o povoado e as cidades vizinhas, proporcionado pela abertura de novas estradas, contribuiu decisivamente para que Coité do Nóia passasse a ocupar lugar de destaque na região.A origem do topônimo deve ao fato de os pioneiros do lugar pertencerem à família Nóia e lá abundavam pequenas árvores que dão um fruto, o coité, o qual aberto ao meio é usado como cuia para beber água, medir farinha ou outros produtos. O povo colhia os frutos na propriedade dos Nóia, popularizando assim a localidade com tal denominação. Distrito criado com a denominação Coité (ex-povoado), pela Lei l n.º 1785, de 05-04-1954, subordinado ao município de Limeiro da Anadia (ex-Limoeiro).Em divisão territorial datada de 1-VII-1955, o distrito de Coité, figura no município de Limoeiro de Anadia.Assim permanecendo em divisão territorial datada de 1-VII-1960.Pelo Decreto-lei Estadual n.º 2.465, de 24-08-1962, o distrito de Coité foi transferido do município de Limoeiro da Anadia, para constituir o novo município de Taquarana (ex-Cana Brava dos Paes).Elevado à categoria de município com a denominação de Coité do Nóia, pela Lei Estadual n.º 2.616, de 21-08-1963, desmembrado de Taquarara. Sede no atual distrito de Coité do Nóia (ex-Coité). Constituído do distrito sede. Instalado em 21-09-1963.Em divisão territorial datada de 31-XII-1963, o município é constituído do distrito sede.Assim permanecendo em divisão territorial datada de 2007. Coité do Nóia (AL). Prefeitura. 2014. Disponível em: http://www.coitedonoia.al.gov.br. Acesso em: set. 2014.",NA
